Id	Desc	WorldName	WorldType	Region	SelfIp	PublicIp	PublicIpV6	PublicDomain	PortForClient	ServerThreadCount	DBThreadCount	HttpThreadCount	DBIP	DBPort	HttpIP	HttpPort	HttpServerFakeTokenCheckPort	HttpServerPayPort	HttpServerRefundPort	HttpServerIDIPPort	HttpServerLaoHuVipPort	DeletRolePort	MySQLIP	MySQLPort	DataBaseName	DataBaseUser	DataBasePsw	MaxOnlinePlayingPlayer	MaxOnlineQueuingPlayer	MaxRegisterPlayer	MsdkChannel	AreaId	PlatId	Partition	CrossListenPort	OpenReg	PortForGMI	PortForGMClient	GMDataBasePsw	PortForLB
INT	STRING	STRING	INT	INT	STRING	STRING	STRING	STRING	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
#MAX_ID=89999;MAX_RECORD=70000;TableType=Hash;ProjectActive0=_WORLDSERVER_;ProjectActive1=_HTTPAGENT_;ProjectActive2=_DBAGENT_;ProjectActive3=_GMSERVER_;																																								
#ID	程序不读	世界名称	"世界类型（-1:合服废弃，0:普通世界，1:GM服，2:兑换码服, 3:世界服, 4:登录服）"	所属大区	自己ip	公网Ip	ipv6	域名	客户端连接端口	GameServer线程数量	DB线程数量	Http线程数量	DBAgent地址	DBAgent端口	Http地址	Http端口	HttpServer（自启Token验证）端口	充值回调端口	退款回调端口	HttpServer（IDIP回调）端口	onesdk发奖回调端口	删除角色回调端口	MySQL地址	MySQL端口	数据库名	数据库用户	数据库密码	最大在线人数	最大排队人数	最大注册人数（-1无限制）	Tencent 渠道 0-none 1-weixin 2-QQ	服务器：微信（1），手Q（2）	平台：IOS（0），安卓（1）	小区	跨服服务监听端口	是否开放注册（0-不开放）	GM连接GS端口	GM客户端连接端口	GM数据库密码	负载均衡对外端口
1	程序自启	1世界-李小江	0	0	127.0.0.1	127.0.0.1			3341	5	2	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_1	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	1	3348	1	9500	9300	xjlzxdbmm	-1
2	程序自启	2世界-杨骁	0	0	127.0.0.1	127.0.0.1			3341	5	2	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_2	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	2	3448	1	9500	9300	xjlzxdbmm	-1
3	程序自启	3世界-胡伟	0	0	127.0.0.1	127.0.0.1			3341	5	2	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_3	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	3	3548	1	9500	9300	xjlzxdbmm	-1
4	程序自启	4世界-袁云龙	0	0	127.0.0.1	127.0.0.1			3341	5	2	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_4	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	4	3648	1	9500	9300	xjlzxdbmm	-1
5	程序自启	5世界-王冬冬	0	0	127.0.0.1	127.0.0.1			3341	5	2	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_5	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	5	3748	1	9500	9300	xjlzxdbmm	-1
6	程序自启	6世界	0	0	127.0.0.1	127.0.0.1			3341	5	2	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_6	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	6	3848	1	9500	9300	xjlzxdbmm	-1
7	程序自启	7世界	0	0	127.0.0.1	127.0.0.1			3341	5	2	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_7	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	7	3948	1	9500	9300	xjlzxdbmm	-1
8	程序自启	8世界-康傲	0	0	127.0.0.1	127.0.0.1			3341	5	2	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_8	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	8	4048	1	9500	9300	xjlzxdbmm	-1
9	程序自启	9世界	0	0	127.0.0.1	127.0.0.1			3341	5	2	4	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_9	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	9	4148	1	9500	9300	xjlzxdbmm	-1
#跨服1区																																								
10	程序自启	跨服10世界-1区	0	1	127.0.0.1	127.0.0.1		wanmei.com(example)	3341	3	2	2	127.0.0.1	3343	127.0.0.1	3344	3345	9100	9200	3352	9600	9700	10.68.14.100	3306	carddb_10	root	xjlzxdbmm	20000	1000	100000	-1	1	-1	10	3348	1	9500	9300	xjlzxdbmm	-1
